id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
08ce1f0c-3174-4954-99f2-c9186d07e8bb,Smaragd,Motorvrachtschip,pcshipbrokers,400000.0,80.0,9.19,1397.0,1930.0,,750.0,Deutz,35.0,400.0,32000.0,,,5.5,2000.0,,True,2012.0,False,5000.0,286.33,96.0,122,False,f851d026-335e-4a62-aa1d-f9ef69a0acf8
096547ad-d86e-4416-8eff-024066b41a98,Ems Dollard,Motorvrachtschip,gtsschepen,,53.9,7.19,706.0,1963.0,,,,,,,,,,,,,,,,,63.0,122,False,
09b7280b-d59d-49ff-a51b-df24563c712a,Walrus,Duwbak,gsk,,85.49,12.08,3141.102,1972.0,,,,,,,1.0,,,,True,True,,True,,,54.0,122,False,
09ba9faa-f329-4fa0-a810-ea021555089c,.,Tankschip,rensendriessen,4500000.0,110.0,11.45,,,,,,,,,,,,,,,,,40909.09,,,115,False,
09d999c3-397c-4d34-b3aa-54cf67f16689,Itinerant,,gsk,1150000.0,104.85,9.57,2204.0,1981.0,,,,,,,,,,,,,,,10968.05,521.78,45.0,122,False,
0ab99a1f-b917-4823-9ccb-3317a504f052,Poseidon,Tankschip,gsk,2850000.0,110.0,11.45,2511.0,2000.0,3341.0,1834.0,Caterpillar,,336.0,,,welded,,,,True,2023.0,True,25909.09,1135.01,26.0,122,False,ddcc726b-524c-4b26-99aa-c2ab3a801cb3
0ad6c8fd-a8b3-4d4b-ba30-f4f689aa1214,Breeze,,gsk,830000.0,79.0,8.2,1303.0,1960.0,,,,,,,,,,,,,,,10506.33,636.99,66.0,122,False,
0b87861f-a097-4c27-8bcb-8e4b09e6e25f,Atiram ,Motorvrachtschip,pcshipbrokers,585000.0,75.9,8.2,1057.0,1957.0,46300.0,640.0,Cummins,20.0,320.0,1000.0,,riveted,5.2,1470.0,,True,,True,7707.51,553.45,69.0,122,False,
0be95213-cf78-4247-9bd2-9352f106efd5,Taz,Koppelverband,gsk,2400000.0,110.0,12.54,4432.924,2000.0,,,,,,,,,,,,,,,21818.18,541.4,26.0,122,False,
0c481b7a-7e65-4588-870e-55110b307635,Agamemnon,Motorvrachtschip,pcshipbrokers,865000.0,84.91,9.52,1657.0,1978.0,,1000.0,Deutz,40.0,400.0,31000.0,,welded,,1800.0,True,True,,True,10187.26,522.03,48.0,122,False,
0c6dc314-7dcc-413a-97ce-76acb856a09e,ARESE,Motorvrachtschip,rensendriessen,4995000.0,135.0,11.45,,,,,,,,,,,,,,,,,37000.0,,,115,False,1d06644d-1849-420d-99f4-a8e0b550359e
0d3ba6df-a20c-47a0-98c1-f139be9df0e3,Enja-D,Motorvrachtschip,gtsschepen,650000.0,80.0,8.2,1121.0,1972.0,23000.0,650.0,Volvo Penta,30.0,250.0,16000.0,1.0,welded,4.52,1500.0,,True,,True,8125.0,579.84,54.0,122,False,
0d4fcded-7fbb-4300-8ec9-866de72deca7,SONORA,Tankschip,rensendriessen,,110.0,11.45,,,,,,,,,,,,,,,,,,,,52,False,
0d53ac4d-3795-45c7-a457-1d3f3ac3ccc0,Folio 3652,Duwbak,gtsschepen,145000.0,50.0,9.0,720.0,1983.0,,,,,,,,,,,,,,True,2900.0,201.39,43.0,122,False,
0d6fa2c8-1be4-41ed-aec8-576d4277f06d,CDD Belumi 1&2,Motorvrachtschip,gtsschepen,,76.96,8.2,1087.0,1954.0,,,,,,,,,,,,,,,,,72.0,122,False,
0ed3cccb-150c-4ff1-8172-380a7314dd6b,Titan,Motorvrachtschip,gsk,950000.0,105.0,9.5,1840.0,1971.0,,800.0,Doson,35.0,420.0,,1.0,welded,4.5,,True,True,,True,9047.62,516.3,55.0,122,False,
0f1723ad-cdbc-471c-85da-a245f76209a0,Transitorio,Motorvrachtschip,pcshipbrokers,,60.08,7.26,738.0,1964.0,,,,,,,,,,,,,,,,,62.0,122,False,
0f6a8e0e-34ce-4a56-9282-c4363e2cff5d,Ambulant,Motorvrachtschip,gtsschepen,450000.0,79.99,8.21,1110.0,1956.0,33075.0,860.0,Mitsubishi,25.0,320.0,20000.0,2.0,mixed,5.1,1700.0,,True,,True,5625.7,405.41,70.0,17,False,
0f7ed88b-d04f-40af-a590-483f0eec42eb,KAMALIJ,Tankschip,rensendriessen,9250000.0,135.0,11.45,,,,,,,,,,,,,,,,,68518.52,,,115,False,
